Illumicode,N,Mean GRN,Dev GRN,Mean RED,Dev RED
5607,28,580,76,8824,1614
5242,26,7535,1167,773,174
4307,39,2207,354,422,72
5629,37,1441,189,5631,960
3463,38,6719,888,877,172
4238,31,10612,1939,517,115
1766,33,1703,188,688,159
5973,16,3680,488,7749,1083
3746,41,520,54,10604,1425
3069,32,7570,958,675,117
1784,36,545,68,9004,1517
4153,28,560,55,2004,269
2854,18,1074,118,8570,1399
1164,30,506,77,3907,429
606,27,2092,222,1711,157
5669,25,5466,1073,11030,1825
2962,29,7297,764,1040,205
3293,29,6257,613,1257,179
1046,37,1103,94,4825,522
4872,34,9264,1363,4592,966
1644,36,1635,321,13679,3114
2748,24,9778,1631,349,54
70,43,4655,719,429,72
4947,18,3719,565,621,107
1311,29,558,91,7183,861
1611,30,455,61,19070,3030
649,36,4798,642,924,138
974,35,6741,1094,859,147
744,15,5677,776,1049,192
5293,28,7342,1016,917,172
3865,36,757,102,11494,1490
33,26,670,109,10905,1560
3487,30,498,59,6831,1048
4304,27,552,75,3115,495
1125,34,5099,709,5329,853
5653,22,3083,457,588,102
3722,34,7703,1122,528,101
2966,30,5284,632,494,73
1138,33,464,65,930,156
4843,34,6291,707,1255,175
2139,29,1111,123,8681,1415
1739,27,439,56,7849,1374
174,30,1707,343,8662,1058
6016,21,531,58,2537,384
5798,28,505,70,14027,2172
4150,36,2838,435,1001,138
6068,21,828,131,11396,1053
4202,24,550,55,10097,1146
1228,21,6037,644,4205,663
5878,28,639,84,5151,673
38,27,6069,943,1951,318
5322,35,8333,1262,846,161
27,35,659,80,8670,1235
5786,30,752,88,3654,662
3792,31,407,76,148,20
5800,21,582,99,6817,1387
3041,36,10370,1511,717,155
5560,22,10989,1616,3000,484
4018,36,6886,907,937,254
3846,29,3652,465,420,98
2693,42,1227,140,4341,587
5688,26,2809,355,6366,1170
4287,18,7625,850,811,135
5962,28,3315,349,2301,309
3920,46,792,97,4990,781
4939,34,6968,1131,746,124
1885,28,732,86,9784,1370
4148,23,539,131,4952,845
1563,29,541,58,7251,1026
5310,29,394,36,10188,859
4133,28,695,114,8106,863
4901,21,521,66,15720,2042
2895,23,6558,600,1147,188
4154,29,4526,520,566,114
1227,41,8116,1400,640,165
1702,28,740,81,6127,865
230,29,413,55,2614,375
5508,36,401,49,4507,577
2939,36,526,47,9871,1151
2927,24,447,68,2805,382
2330,26,535,53,5156,692
5504,29,766,126,9610,1489
4228,34,6299,895,532,76
5179,26,450,45,8086,1225
3285,21,750,84,13199,1880
4976,27,1624,274,8507,1639
1676,36,3168,562,424,74
3318,42,671,82,9260,1153
1762,29,10152,1344,4050,730
4028,31,1582,233,16907,2290
1771,28,1116,140,10338,1534
1389,35,1897,251,7947,1042
697,25,2783,274,2162,254
3800,38,6142,820,485,84
1707,36,1668,164,3944,347
3987,35,922,147,9107,1574
1646,37,490,70,8699,1039
1893,21,857,50,4715,424
2328,31,513,52,11019,1498
5546,27,458,60,8712,1270
5052,28,959,103,7702,985
4259,23,377,57,12066,1108
1319,30,426,56,2406,391
3103,33,3942,685,359,63
1874,24,693,78,7109,916
1799,23,12806,4195,781,255
634,34,3382,410,1849,247
4073,21,3913,876,445,87
1653,27,8971,1388,648,149
2871,38,8043,1169,1270,217
737,35,271,32,126,28
2879,26,518,61,7488,1043
915,36,5071,842,3675,661
361,24,7659,1110,644,85
5788,25,2369,199,820,105
3500,36,616,60,5231,510
3730,26,2569,270,3192,471
1826,27,1419,119,2401,296
4149,28,6963,747,2306,251
1655,31,3923,618,1133,199
1051,32,12052,2194,815,128
125,33,1271,176,8721,1402
5537,23,3074,298,3739,562
5074,33,444,46,10884,1322
3934,28,661,104,11950,1971
1617,24,469,54,9251,988
5877,17,5157,602,796,81
4823,24,510,57,12275,1244
6020,23,300,37,350,64
5127,26,3055,294,4726,448
4334,13,782,146,9866,1248
1757,37,3469,450,8847,1102
4261,27,477,36,8426,793
2354,20,455,67,7407,1046
3283,23,4246,610,4537,824
1959,29,3847,648,593,115
2741,17,1584,167,7305,653
178,35,7519,1627,2514,559
3363,25,557,92,4230,763
1647,29,401,36,10484,1697
3677,26,374,44,1734,458
1808,22,3319,562,392,87
2597,33,272,23,154,36
1002,24,8100,1163,514,86
2373,47,869,154,10418,2277
718,24,611,106,4496,632
3752,24,3373,681,4980,1054
1679,24,2901,358,15729,2914
1640,32,645,91,11700,1784
931,29,355,38,710,104
1671,22,824,52,8738,1171
3305,25,2575,392,3913,555
437,34,4635,661,8307,1415
4158,18,1887,274,11942,1868
1321,49,5959,1328,1361,305
2485,27,4570,552,514,142
5097,30,1130,120,199,42
2162,32,4635,750,524,84
4077,28,6164,597,3047,430
2022,27,5628,757,1002,145
1984,29,7992,989,771,197
884,45,577,69,9006,1156
1040,27,413,60,2548,614
154,33,5436,1029,4242,955
1645,20,513,37,6228,892
960,28,485,61,13955,2980
973,29,533,54,7984,877
2692,41,4305,486,705,115
942,26,7775,2283,5625,1522
1869,41,533,69,12045,1853
74,31,3193,462,3760,610
662,27,383,68,216,49
5660,30,487,66,9265,1462
5750,23,539,88,2587,381
6137,28,1144,120,7725,1068
3398,23,401,51,4464,588
2941,26,3545,644,724,115
2261,30,6596,914,564,113
5599,22,7657,948,476,94
3381,64,1268,485,1371,657
1225,36,425,58,5049,775
4000,24,501,43,10722,1283
2798,14,4632,538,771,153
1693,31,2655,616,1029,220
109,33,726,113,5289,630
5214,26,6022,556,634,106
5591,23,393,26,3714,452
4207,32,555,109,3614,862
5806,27,2866,422,581,70
2915,28,3349,533,474,84
3092,34,5231,585,5081,688
2136,21,4157,624,550,81
5655,29,6241,677,6298,896
30,31,403,47,10917,1104
4985,82,4213,2218,1373,767
5159,33,305,40,4030,693
5297,24,559,64,1727,339
5236,24,767,123,17979,2891
4239,31,4589,759,696,105
5933,32,9483,1399,1293,121
3399,23,2031,196,11223,1370
5170,40,5511,987,4017,616
5067,27,535,70,8327,1268
3520,32,366,28,3033,400
1743,35,781,119,4832,725
5177,23,3143,347,6869,1000
3002,28,3250,483,329,62
6034,24,4946,559,2494,454
3780,32,777,86,3902,544
5021,30,9006,1472,848,192
1967,38,6417,799,1261,177
3826,24,415,55,7527,896
2728,36,4867,619,1399,256
6070,28,609,80,9246,1841
4276,30,1332,214,7802,1308
4870,16,893,89,13970,1573
1651,37,488,58,4378,895
3740,33,724,120,13979,2753
1320,38,2986,329,813,113
2834,28,733,67,4835,719
944,30,9341,1589,661,123
5917,27,281,26,139,32
3370,26,597,83,10303,949
4931,29,891,128,3068,360
2420,30,3984,879,353,70
5475,32,434,44,11549,1203
3860,23,485,51,5899,660
5888,23,1522,250,4670,843
3132,29,559,64,8603,1337
4118,15,2198,72,416,65
1842,27,2796,547,19877,4748
3523,27,8051,1083,446,88
1600,25,9794,1444,729,108
2932,24,749,135,7088,1109
1335,35,482,48,7611,1445
2401,23,4299,534,411,110
4950,31,2200,196,7045,809
3633,33,615,59,8903,1008
1850,31,4204,608,1845,320
1994,20,8416,1193,5985,1055
977,33,10351,1874,6272,1435
2717,26,5035,522,384,79
542,30,400,47,2513,362
5384,29,860,106,1218,211
5880,30,7001,1352,8775,1787
4010,26,3397,407,1780,255
3031,33,2277,356,481,97
3380,71,4472,1757,917,409
2168,29,350,32,2705,474
5885,23,4533,634,6254,802
5700,32,515,63,7717,1357
4075,24,537,68,8723,1218
6126,29,581,79,7382,878
5184,12,428,42,4676,384
6110,29,918,124,5441,977
2985,28,476,53,3786,607
5381,26,7869,889,565,74
4107,26,9430,1216,885,137
5572,28,4497,598,9931,1505
2960,30,569,55,8323,1004
4850,41,2194,380,332,77
2363,21,3283,650,7354,1618
5988,33,1948,262,13004,2091
3963,37,5471,781,5811,701
5769,24,1313,159,2252,310
4049,24,9376,1516,1434,235
3191,26,370,46,5853,1096
1968,25,411,104,227,73
3893,29,511,59,4026,488
1884,21,7834,855,1014,154
5180,20,8203,1263,2678,387
5884,27,2246,521,245,33
3324,38,4358,946,6536,1218
6123,27,746,110,5748,1080
5879,27,5599,946,11283,2234
6140,24,6399,1124,6726,1135
3072,35,443,47,7625,1052
5955,22,312,48,194,58
3051,32,1207,138,3595,464
3962,35,1071,114,10159,1231
5378,34,516,56,8783,1191
5708,23,423,46,6470,1170
6080,25,4828,552,6139,641
3433,27,447,82,279,54
5672,39,4204,547,7591,1093
3091,29,450,58,5213,540
5534,30,1769,169,425,66
3150,29,5170,740,1491,235
5633,24,507,65,10207,1417
4173,24,598,106,3254,581
4046,25,4580,595,4374,586
1344,21,708,85,11067,1651
3913,31,1468,264,8279,1380
5321,28,288,40,163,44
5091,23,504,63,6370,1098
3842,26,6474,844,415,62
2403,36,4972,773,713,116
4161,30,521,43,4368,557
2187,29,8209,1110,539,91
5567,22,591,92,8142,1131
3171,25,7106,692,741,125
5670,18,10498,1754,699,147
3141,26,1937,416,3153,782
5476,22,4929,486,753,118
4067,15,449,50,10598,1257
2202,25,6251,1370,1665,319
3694,33,2111,306,872,126
3280,31,575,98,6030,1100
1899,35,9087,1192,761,112
5550,21,12916,2897,904,207
4215,36,684,115,4168,975
3582,32,575,80,6451,1394
2434,20,3216,664,722,171
5129,27,8363,1236,622,143
1590,28,969,142,12661,1853
2161,36,2731,229,814,97
5858,18,808,116,12570,1886
3927,25,4472,575,433,81
4185,31,674,83,4045,523
2461,28,5653,817,8633,1506
5366,24,524,70,3395,506
4186,22,766,72,20454,3988
5237,35,1675,223,5884,722
3709,27,5851,898,806,152
3778,40,466,50,3859,673
1334,35,643,86,4870,783
4824,29,402,41,20716,4008
2442,29,9782,1945,432,98
3574,25,2027,274,3868,650
2114,31,2565,499,3890,796
2044,26,5961,999,541,82
989,33,635,113,10123,1903
3592,34,2156,341,3501,650
1251,27,634,82,689,137
3183,33,498,62,5523,699
2356,31,467,44,8746,1288
1795,28,538,59,9921,2007
732,38,859,106,6102,948
1102,23,5340,576,932,141
3055,29,2801,340,255,48
5518,27,543,60,8996,1124
3534,39,463,52,5037,872
4099,25,3210,464,5359,779
2848,40,272,32,126,29
5874,33,574,75,10390,1447
3606,37,5220,772,792,122
5915,39,479,62,8162,1001
3450,68,724,287,6460,3508
4036,26,1927,345,3061,578
1689,26,6689,1213,2041,385
3697,22,502,70,7688,1058
1861,30,5215,1106,1265,285
5157,22,4442,688,6484,1028
4909,26,7911,1001,585,81
6104,24,8458,881,1186,158
4008,37,510,73,3793,527
3253,32,583,68,7897,978
4205,36,593,54,10658,1443
1828,31,2968,286,1774,230
2179,24,1327,186,2413,435
3868,23,3255,525,259,43
1111,32,535,58,14167,2061
4201,29,1454,223,4883,714
1324,34,6542,985,990,206
1883,32,415,46,4495,520
978,23,725,102,8920,1417
5070,29,11784,1708,828,138
1955,32,537,71,6966,1080
3155,33,2402,340,6591,1087
1047,37,4288,485,701,92
1844,33,764,113,2448,358
753,24,7417,1004,659,154
2733,31,640,108,5420,1032
266,31,299,24,159,34
4190,26,1070,140,10302,1195
2174,39,674,116,6745,1509
4160,33,480,49,5024,920
2776,28,2224,286,6318,834
5073,19,727,104,6793,1137
2236,25,586,45,18498,2728
2402,30,529,51,3005,414
805,31,3344,433,4674,531
1432,28,839,108,9089,1456
656,32,428,50,3591,619
2062,22,1317,199,6897,961
5801,28,16473,3428,853,155
4005,25,1245,147,8529,888
3028,31,3908,521,5804,845
1093,29,2022,347,2538,474
3518,34,4859,811,563,114
1219,26,708,90,10061,1361
2857,22,532,46,3485,472
715,27,13113,2550,2413,547
2991,27,6294,945,629,114
1256,30,2043,408,6345,1236
1870,29,4264,746,4317,718
724,32,2740,308,682,105
2081,27,2311,267,3011,351
858,23,394,40,240,47
1022,26,9626,1369,1145,232
5333,22,372,30,6761,904
3857,40,3006,376,570,92
4989,43,2981,996,5927,2220
1482,37,10358,1928,732,132
4874,33,2843,331,4524,557
2536,31,418,46,12412,2514
233,16,9775,1140,913,137
5565,32,5066,665,1330,178
3245,29,869,141,12931,1512
3468,21,632,123,10084,2155
1112,29,310,35,10089,791
5389,22,902,90,9927,1149
3624,24,1006,170,16835,3182
5925,29,785,106,6478,685
3810,31,2671,430,348,55
4177,28,1067,92,4609,537
1749,27,5207,609,822,114
3894,35,1127,195,10692,1480
1407,21,5094,777,1631,206
3922,28,3394,545,3611,651
2163,18,4108,727,393,50
1787,32,647,78,4957,573
223,23,8416,2626,9583,2698
4037,38,1266,218,1080,171
1935,36,1872,195,6154,774
4026,26,6637,1047,803,90
2097,30,4518,686,1007,130
1740,30,504,73,4864,572
50,26,3035,444,3016,407
2230,27,704,102,8066,1302
279,28,606,84,12875,1651
3588,28,643,71,7555,1328
2209,31,1046,144,9949,1656
2555,30,4410,559,5998,701
891,28,15498,2201,1285,205
2065,29,1599,237,2596,475
813,37,8503,1248,980,127
3239,29,2521,276,467,72
1330,36,396,50,2590,454
1549,27,5816,988,11219,2001
1024,29,548,70,22434,4525
4934,22,4555,766,3528,588
2501,37,1882,274,1933,305
4115,24,3720,463,681,152
2043,33,3823,469,609,104
2840,33,4519,697,5707,958
80,23,3645,510,584,100
2430,34,9349,1452,2256,351
898,33,1119,160,544,106
2612,23,5254,574,461,64
678,30,682,95,10986,1605
799,34,6155,1603,7492,1981
1990,24,1180,122,5787,625
910,30,369,59,218,46
2167,27,4102,646,626,166
636,37,414,47,6069,889
651,24,10245,3132,5628,1771
403,39,487,49,7264,1108
6078,37,5535,546,881,232
4248,30,4185,673,353,65
4060,29,1349,173,2617,334
2906,23,2283,220,4248,609
2943,33,616,97,2496,486
2109,25,2422,324,4645,755
2867,27,382,52,4019,759
2911,40,5542,794,16634,2819
5145,35,7605,928,525,101
4176,26,3737,622,912,141
4033,25,587,66,8307,1533
2838,21,9880,1826,1236,223
5906,22,1432,211,15567,2353
3909,29,2591,279,730,192
3022,28,5558,900,629,104
2215,28,3739,550,19521,3713
4885,28,2318,281,2727,431
1085,28,8259,1561,7633,1735
3981,41,7341,1136,2133,305
2827,34,985,109,7845,1011
2011,26,377,43,1828,234
509,34,892,86,3996,604
3050,27,2611,360,811,176
2051,30,2925,405,656,121
4066,24,6993,762,561,65
2811,27,1630,141,3422,395
1974,31,402,38,2707,340
79,41,2061,548,183,46
1042,34,499,59,9850,1337
3237,26,670,115,4471,1025
5329,24,586,53,4397,449
5050,22,8853,1019,825,158
3099,30,488,61,8243,1245
2804,34,583,89,9553,1941
6004,34,6490,859,825,137
3039,24,491,52,8886,1511
31,16,1072,111,4565,821
4092,35,9048,1463,1390,216
4999,27,415,44,5312,723
2038,34,1167,214,10119,2076
5078,19,3532,358,649,71
1039,23,523,54,16770,2876
5894,19,11198,2900,2734,585
3348,38,11435,1489,634,133
6107,37,746,92,12075,1966
4044,24,9087,1214,545,111
5716,28,5704,997,428,98
